file_name	seed	formula_x	formula_y
2018-11-05-19-18_seed_5843.png	5843	NA	NA
2018-11-05-19-18_seed_8599.png	8599	NA	NA
2018-11-05-19-23_seed_603.png	603	NA	NA
2018-11-05-19-23_seed_7117.png	7117	NA	NA
2018-11-05-19-23_seed_3425.png	3425	NA	NA
2018-11-05-19-23_seed_6782.png	6782	NA	NA
2018-11-05-19-23_seed_1443.png	1443	NA	NA
2018-11-05-19-23_seed_3523.png	3523	NA	NA
2018-11-05-19-23_seed_7430.png	7430	NA	NA
2018-11-05-19-23_seed_3196.png	3196	NA	NA
2018-11-05-19-23_seed_4321.png	4321	NA	NA
2018-11-05-19-23_seed_6288.png	6288	NA	NA
2018-11-05-19-24_seed_8772.png	8772	NA	NA
2018-11-05-19-24_seed_3067.png	3067	NA	NA
2018-11-05-19-25_seed_2643.png	2643	NA	NA
2018-11-05-19-25_seed_5796.png	5796	NA	NA
2018-11-05-19-25_seed_1980.png	1980	NA	NA
2018-11-05-19-25_seed_9768.png	9768	NA	NA
2018-11-05-20-11_seed_8069.png	8069	NA	NA
2018-11-05-20-11_seed_9351.png	9351	NA	NA
2018-11-05-20-11_seed_2925.png	2925	NA	NA
2018-11-05-20-11_seed_117.png	117	NA	NA
2018-11-05-20-11_seed_3596.png	3596	NA	NA
2018-11-05-20-11_seed_4873.png	4873	NA	NA
2018-11-05-20-11_seed_4908.png	4908	NA	NA
2018-11-05-20-11_seed_1209.png	1209	NA	NA
2018-11-05-20-19_seed_5745.png	5745	NA	NA
2018-11-05-20-19_seed_6090.png	6090	NA	NA
2018-11-05-20-20_seed_8480.png	8480	NA	NA
2018-11-05-20-20_seed_2942.png	2942	NA	NA
2018-11-05-20-20_seed_742.png	742	NA	NA
2018-11-05-20-20_seed_3178.png	3178	NA	NA
2018-11-05-20-22_seed_707.png	707	NA	NA
2018-11-05-20-22_seed_9600.png	9600	NA	NA
2018-11-05-20-22_seed_4197.png	4197	NA	NA
2018-11-05-20-22_seed_767.png	767	NA	NA
2018-11-05-20-23_seed_8662.png	8662	NA	NA
2018-11-05-20-23_seed_3900.png	3900	NA	NA
2018-11-05-20-23_seed_7370.png	7370	NA	NA
2018-11-05-20-23_seed_1124.png	1124	NA	NA
2018-11-05-20-24_seed_1708.png	1708	NA	NA
2018-11-05-20-24_seed_144.png	144	NA	NA
2018-11-05-20-24_seed_2119.png	2119	NA	NA
2018-11-05-20-24_seed_101.png	101	NA	NA
2018-11-05-20-24_seed_79.png	79	NA	NA
2018-11-05-20-24_seed_1794.png	1794	NA	NA
2018-11-05-20-24_seed_8240.png	8240	NA	NA
2018-11-05-20-24_seed_6436.png	6436	NA	NA
2018-11-05-20-24_seed_9482.png	9482	NA	NA
2018-11-05-20-24_seed_3715.png	3715	NA	NA
2018-11-05-20-24_seed_2775.png	2775	NA	NA
2018-11-05-20-24_seed_7769.png	7769	NA	NA
2018-11-05-20-24_seed_8581.png	8581	NA	NA
2018-11-05-20-24_seed_2137.png	2137	NA	NA
2018-11-05-20-24_seed_8219.png	8219	NA	NA
2018-11-05-20-24_seed_5330.png	5330	NA	NA
2018-11-05-20-24_seed_5712.png	5712	NA	NA
2018-11-05-20-24_seed_9830.png	9830	NA	NA
2018-11-05-20-24_seed_1135.png	1135	NA	NA
2018-11-05-20-24_seed_7902.png	7902	NA	NA
2018-11-05-20-24_seed_446.png	446	NA	NA
2018-11-05-20-24_seed_197.png	197	NA	NA
2018-11-05-20-27_seed_9437.png	9437	NA	NA
2018-11-05-20-27_seed_2136.png	2136	NA	NA
2018-11-05-20-27_seed_4317.png	4317	NA	NA
2018-11-05-20-39_seed_8103.png	8103	NA	NA
2018-11-05-20-39_seed_3235.png	3235	NA	NA
2018-11-05-20-39_seed_7853.png	7853	NA	NA
2018-11-05-20-39_seed_3669.png	3669	NA	NA
2018-11-05-20-39_seed_5510.png	5510	NA	NA
2018-11-05-20-39_seed_1827.png	1827	NA	NA
2018-11-05-20-39_seed_6985.png	6985	NA	NA
2018-11-05-20-39_seed_1105.png	1105	NA	NA
2018-11-05-20-39_seed_1925.png	1925	NA	NA
2018-11-05-20-39_seed_8001.png	8001	NA	NA
2018-11-05-20-40_seed_1825.png	1825	NA	NA
2018-11-05-20-40_seed_6246.png	6246	NA	NA
2018-11-05-20-40_seed_6886.png	6886	NA	NA
2018-11-05-20-40_seed_7781.png	7781	NA	NA
2018-11-05-20-40_seed_342.png	342	NA	NA
2018-11-05-20-40_seed_3150.png	3150	NA	NA
2018-11-05-20-40_seed_1979.png	1979	NA	NA
2018-11-05-20-40_seed_837.png	837	NA	NA
2018-11-05-20-40_seed_4295.png	4295	NA	NA
2018-11-05-20-40_seed_8376.png	8376	NA	NA
2018-11-05-20-41_seed_1865.png	1865	NA	NA
2018-11-05-20-41_seed_6381.png	6381	NA	NA
